"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
37,4805,20.42,0.4,Daniel SANGOUMA,07 FEB 1965,FRA,2,Bruxelles (BEL),25 AUG 1989,1155
38,4805,20.42,-0.2,Danny EVERETT,01 NOV 1966,USA,3,Bruxelles (BEL),10 AUG 1990,1156
39,4805,20.42,2.0,Terrance WARREN,02 AUG 1969,USA,3f1,"Modesto, CA (USA)",16 MAY 1992,1155
40,4805,20.42,,Oluyemi KAYODE,07 JUL 1968,NGR,1h3,"Estadio Olímpico, Barcelona (ESP)",03 AUG 1992,1155
41,4805,20.42,-0.1,Oluyemi KAYODE,07 JUL 1968,NGR,2,Köln (GER),01 AUG 1993,1155
42,4805,20.42,1.1,Atlee MAHORN,27 OCT 1965,CAN,2,Linz (AUT),25 AUG 1993,1155
43,4805,20.42,1.6,Chris SANDERS,08 MAY 1972,USA,1,"Madison, WI (USA)",22 MAY 1994,1155
44,4805,20.42,0.4,Oumar LOUM,31 DEC 1973,SEN,1,Narbonne (FRA),19 JUN 1994,1155
45,4805,20.42,0.3,Geir MOEN,26 JUN 1969,NOR,1f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 1994,1155
46,4805,20.42,-0.4,John REGIS,13 OCT 1966,GBR,1,"Crystal Palace, London (GBR)",15 JUL 1994,1157
47,4805,20.42,0.9,Frank FREDERICKS,02 OCT 1967,NAM,1,"Stadio Olimpico, Roma (ITA)",08 JUN 1995,1155
48,4805,20.42,0.0,Robson DA SILVA,04 SEP 1964,BRA,4,Bruxelles (BEL),25 AUG 1995,1155
49,4805,20.42,1.1,Floyd HEARD,24 MAR 1966,USA,2,"Walnut, CA (USA)",21 APR 1996,1155
50,4805,20.42,1.8,Michael PRICE,24 FEB 1977,USA,2,"College Station, TX (USA)",09 MAY 1996,1155
51,4805,20.42,0.6,Erik WIJMEERSCH,23 JAN 1970,BEL,1,Tallinn (EST),09 JUN 1996,1155
52,4805,20.42,0.3,Anthuan MAYBANK,30 DEC 1969,USA,2h,"Atlanta, GA (USA)",21 JUN 1996,1155
53,4805,20.42,-0.9,Patrick STEVENS,31 JAN 1968,BEL,3,Lausanne (SUI),03 JUL 1996,1160
54,4805,20.42,-0.9,Kevin LITTLE,03 APR 1968,USA,4,Lausanne (SUI),03 JUL 1996,1160
55,4805,20.42,0.7,Obadele THOMPSON,30 MAR 1976,BAR,2h3,"Olympic Stadium, Atlanta, GA (USA)",31 JUL 1996,1155
56,4805,20.42,-0.2,Jon DRUMMOND,09 SEP 1968,USA,4,Bruxelles (BEL),23 AUG 1996,1156
57,4805,20.42,-0.2,Patrick STEVENS,31 JAN 1968,BEL,5,Bruxelles (BEL),23 AUG 1996,1156
58,4805,20.42,0.0,Chaoming HAN,10 MAY 1975,CHN,1,Xi'an (CHN),30 AUG 1996,1155
59,4805,20.42,0.5,Chris DONALDSON,26 MAY 1975,NZL,1,Melbourne (AUS),02 MAR 1997,1155
60,4805,20.42,-0.2,Patrick STEVENS,31 JAN 1968,BEL,4sf2,"Olympic Stadium, Athina (GRE)",07 AUG 1997,1156
61,4805,20.42,0.8,Troy DOUGLAS,30 NOV 1962,BER,3,"Olympiastadion, Berlin (GER)",26 AUG 1997,1155
62,4805,20.42,1.4,Douglas WALKER,28 JUL 1973,GBR,1,"Petrovskiy Stadium, St. Petersburg (RUS)",28 JUN 1998,1155
63,4805,20.42,0.8,Donovan BAILEY,16 DEC 1967,CAN,1,Luzern (SUI),02 JUL 1998,1155
64,4805,20.42,0.4,Bruny SURIN,12 JUL 1967,CAN,1,Linz (AUT),05 JUL 1998,1155
65,4805,20.42,1.6,Patrick STEVENS,31 JAN 1968,BEL,2,Melbourne (AUS),25 FEB 1999,1155
66,4805,20.42,1.7,Anthony AMANTINE,25 JUL 1979,USA,2,"Norman, OK (USA)",10 APR 1999,1155
67,4805,20.42,-0.3,Marcus BRUNSON,24 APR 1978,USA,1,"Tempe, AZ (USA)",01 MAY 1999,1156
68,4805,20.42,1.2,Coby MILLER,19 OCT 1976,USA,h,"Athens, GA (USA)",14 MAY 1999,1155
69,4805,20.42,0.0,Derrick BREW,28 DEC 1977,USA,3,"Athens, GA (USA)",16 MAY 1999,1155
70,4805,20.42,0.7,Francis OBIKWELU,22 NOV 1978,NGR,3,Oslo (NOR),30 JUN 1999,1155
71,4805,20.42,-0.1,Tony MCCALL,16 JUN 1974,USA,3,Linz (AUT),26 JUL 1999,1155
72,4805,20.42,0.4,Patrick STEVENS,31 JAN 1968,BEL,1,Hechtel (BEL),07 AUG 1999,1155
73,4805,20.42,1.0,Petko YANKOV,06 OCT 1977,BUL,3,Rieti (ITA),05 SEP 1999,1155
74,4805,20.42,-0.1,Jon DRUMMOND,09 SEP 1968,USA,5,"Olympiastadion, Berlin (GER)",07 SEP 1999,1155
75,4805,20.42,0.0,Patrick VAN BALKOM,14 SEP 1974,NED,1,Roodeport (RSA),13 MAR 2000,1155
76,4805,20.42,0.0,Brian LEWIS,05 DEC 1974,USA,3,Sevilla (ESP),09 JUN 2000,1155
77,4805,20.42,0.9,Rohsaan GRIFFIN,21 FEB 1974,USA,2,"Portland, OR (USA)",25 JUN 2000,1155
78,4805,20.42,0.9,John CAPEL,27 OCT 1978,USA,3,"Portland, OR (USA)",25 JUN 2000,1155
79,4805,20.42,-0.2,Obadele THOMPSON,30 MAR 1976,BAR,3,Hechtel (BEL),05 AUG 2000,1156
80,4805,20.42,0.2,Shingo SUETSUGU,02 JUN 1980,JPN,3,Osaka (JPN),12 MAY 2001,1155
81,4805,20.42,1.6,Brian LEWIS,05 DEC 1974,USA,h,"Eugene, OR (USA)",23 JUN 2001,1155
82,4805,20.42,0.1,Stéphan BUCKLAND,12 JAN 1977,MRI,7,Bruxelles (BEL),24 AUG 2001,1155
83,4805,20.42,,Salem Mubarak AL YAMI,09 FEB 1982,KSA,1,Qatif (KSA),29 MAR 2002,1155
84,4805,20.42,0.0,Oumar LOUM,31 DEC 1973,SEN,2,Pretoria (RSA),12 APR 2002,1155
85,4805,20.42,1.0,John CAPEL,27 OCT 1978,USA,2,"Palo Alto, CA (USA)",07 JUN 2003,1155
86,4805,20.42,0.5,Stéphan BUCKLAND,12 JAN 1977,MRI,3,Paris (FRA),04 JUL 2003,1155
87,4805,20.42,0.5,Frank FREDERICKS,02 OCT 1967,NAM,4,Paris (FRA),04 JUL 2003,1155
88,4805,20.42,0.6,Kenny BROKENBURR,29 OCT 1968,USA,1,Santo Domingo (DOM),08 AUG 2003,1155
89,4805,20.42,-0.5,Alessandro CAVALLARO,22 FEB 1980,ITA,2h4,"Stade de France, Paris-St-Denis (FRA)",27 AUG 2003,1158
90,4805,20.42,0.4,Ricardo WILLIAMS,29 SEP 1976,JAM,2,Rieti (ITA),07 SEP 2003,1155
91,4805,20.42,-0.9,Uchenna EMEDOLU,17 SEP 1976,NGR,1,Abuja (NGR),15 OCT 2003,1160
92,4805,20.42,1.2,LaShaunte EDWARDS,26 JUL 1979,USA,1,"Columbus, OH (USA)",01 MAY 2004,1155
93,4805,20.42,-0.7,Tobias UNGER,10 JUL 1979,GER,1,Braunschweig (GER),11 JUL 2004,1159
94,4805,20.42,-1.1,Tobias UNGER,10 JUL 1979,GER,2,Madrid (ESP),17 JUL 2004,1161
95,4805,20.42,-1.2,Joshua J. JOHNSON,10 MAY 1976,USA,1qf1,"Sacramento, CA (USA)",17 JUL 2004,1162
96,4805,20.42,1.3,Tyson GAY,09 AUG 1982,USA,2h4,"Sacramento, CA (USA)",09 JUN 2005,1155
97,4805,20.42,-0.3,Christian MALCOLM,03 JUN 1979,GBR,2,Shanghai (CHN),17 SEP 2005,1156
98,4805,20.42,0.5,Kelly WILLIE,07 SEP 1982,USA,2,"Fayetteville, AR (USA)",14 MAY 2006,1155
99,4805,20.42,0.6,Willie PERRY,16 MAY 1987,USA,2,"Greensboro, NC (USA)",27 MAY 2006,1155
0,4805,20.42,0.3,Rodney MARTIN,22 DEC 1982,USA,1,Torino (ITA),06 JUN 2006,1155
1,4805,20.42,1.3,Marvin ANDERSON,12 MAY 1982,JAM,4,"Icahn Stadium, New York, NY (USA)",02 JUN 2007,1155
2,4805,20.42,-0.3,Jordan VADEN,15 SEP 1978,USA,6,"Indianapolis, IN (USA)",24 JUN 2007,1156
3,4805,20.42,0.0,Wallace SPEARMON,24 DEC 1984,USA,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",10 JUL 2007,1155
4,4805,20.42,0.0,Rodney MARTIN,22 DEC 1982,USA,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",10 JUL 2007,1155
5,4805,20.42,-0.3,Joshua J. JOHNSON,10 MAY 1976,USA,4,Shanghai (CHN),28 SEP 2007,1156
6,4805,20.42,1.5,Greg NIXON,12 SEP 1981,USA,1,"Lubbock, TX (USA)",12 APR 2008,1155
7,4805,20.42,0.0,Christian MALCOLM,03 JUN 1979,GBR,2h2,"National Stadium, Beijing (CHN)",18 AUG 2008,1155
8,4805,20.42,0.1,Shawn CRAWFORD,14 JAN 1978,USA,2qf1,"National Stadium, Beijing (CHN)",18 AUG 2008,1155
9,4805,20.42,0.4,Churandy MARTINA,03 JUL 1984,AHO,2qf3,"National Stadium, Beijing (CHN)",18 AUG 2008,1155
10,4805,20.42,0.2,Rodney MARTIN,22 DEC 1982,USA,2,Shanghai (CHN),20 SEP 2008,1155
11,4805,20.42,0.6,Roberto SKYERS,12 NOV 1991,CUB,1f1,Camagüey (CUB),15 MAR 2009,1155
12,4805,20.42,0.5,Ramil GULIYEV,29 MAY 1990,AZE,1f1,Istanbul (TUR),13 JUN 2009,1155
13,4805,20.42,1.3,Hitoshi SAITO,09 OCT 1986,JPN,2,Hiroshima (JPN),26 JUN 2009,1155
14,4805,20.42,0.0,Shawn CRAWFORD,14 JAN 1978,USA,3,"Olympic Stadium, Athina (GRE)",13 JUL 2009,1155
15,4805,20.42,1.5,Leigh JULIUS,25 MAR 1985,RSA,2,Potchefstroom (RSA),17 APR 2010,1155
16,4805,20.42,0.2,Xavier CARTER,08 DEC 1985,USA,2,Baie Mahault (FRA),01 MAY 2010,1155
17,4805,20.42,-0.8,Martial MBANDJOCK,14 OCT 1985,FRA,3,"Estadio Olímpico, Barcelona (ESP)",30 JUL 2010,1159
18,4805,20.42,-0.6,Churandy MARTINA,03 JUL 1984,AHO,2,"Crystal Palace, London (GBR)",14 AUG 2010,1158
19,4805,20.42,0.6,Marc SCHNEEBERGER,05 JUL 1981,SUI,3,"Stadio Guidobaldi, Rieti (ITA)",29 AUG 2010,1155
20,4805,20.42,1.1,Churandy MARTINA,03 JUL 1984,NED,2f1,"El Paso, TX (USA)",16 APR 2011,1155
21,4805,20.42,0.7,Jonathan BORLÉE,22 FEB 1988,BEL,1,Rabat (MAR),05 JUN 2011,1155
22,4805,20.42,-1.0,Mario FORSYTHE,30 OCT 1985,JAM,1,Barcelona (ESP),22 JUL 2011,1161
23,4805,20.42,1.1,Sandro Ricardo RODRIGUES VIANA,26 MAR 1977,BRA,2h1,São Paulo (BRA),06 AUG 2011,1155
24,4805,20.42,0.3,Walter DIX,31 JAN 1986,USA,1h1,"DS, Daegu (KOR)",02 SEP 2011,1155
25,4805,20.42,1.0,Churandy MARTINA,03 JUL 1984,NED,2f1,"Gainesville, FL (USA)",21 APR 2012,1155
26,4805,20.42,0.5,Aldemir JUNIOR,08 JUN 1992,BRA,1f1,São Paulo (BRA),28 APR 2012,1155
27,4805,20.42,0.0,Rondel SORRILLO,24 JAN 1986,TTO,2,Baie Mahault (FRA),01 MAY 2012,1155
28,4805,20.42,-0.5,Marvin ANDERSON,12 MAY 1982,JAM,4,"Suhaim bin Hamad Stadium, Doha (QAT)",11 MAY 2012,1158
29,4805,20.42,0.0,Kei TAKASE,25 NOV 1988,JPN,1,Osaka (JPN),10 JUN 2012,1155
30,4805,20.42,-0.9,Churandy MARTINA,03 JUL 1984,NED,1,"Olympiastadion, Helsinki (FIN)",30 JUN 2012,1160
31,4805,20.42,1.2,Jason YOUNG,21 MAR 1991,JAM,3sf1,Kingston (JAM),30 JUN 2012,1155
32,4805,20.42,-0.5,Jaysuma SAIDY NDURE,01 JAN 1984,NOR,4sf1,"Olympic Stadium, London (GBR)",08 AUG 2012,1158
33,4805,20.42,-0.6,Aaron BROWN,27 MAY 1992,CAN,4sf2,"Olympic Stadium, London (GBR)",08 AUG 2012,1158
34,4805,20.42,2.0,James ELLINGTON,06 SEP 1985,GBR,2,"FBK Stadium, Hengelo (NED)",08 JUN 2013,1155
35,4805,20.42,-0.3,Serhiy SMELYK,19 APR 1987,UKR,4sf3,"Luzhniki Stadion, Moskva (RUS)",16 AUG 2013,1156
36,4805,20.42,0.2,LaShawn MERRITT,27 JUN 1986,USA,1,Sydney (AUS),15 MAR 2014,1155
37,4805,20.42,0.7,Prezel HARDY,01 JUN 1992,USA,1sf2,"Fayetteville, AR (USA)",31 MAY 2014,1155
38,4805,20.42,0.3,Karol ZALEWSKI,07 AUG 1993,POL,2,"Stadion Juliska, Praha (CZE)",09 JUN 2014,1155
39,4805,20.42,-0.8,Daniel TALBOT,01 MAY 1991,GBR,1,Birmingham (GBR),28 JUN 2014,1159
40,4805,20.42,0.2,Rasheed DWYER,29 JAN 1989,JAM,1sf3,"Hampden Park, Glasgow (GBR)",31 JUL 2014,1155
41,4805,20.42,0.7,Jorge VIDES,24 NOV 1992,BRA,1,São Paulo (BRA),03 AUG 2014,1155
42,4805,20.42,0.0,Curtis MITCHELL,11 MAR 1989,USA,6,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014,1155
43,4805,20.42,1.8,Beejay LEE,05 MAR 1993,USA,1,"Los Angeles, CA (USA)",03 MAY 2015,1155
44,4805,20.42,0.9,Tre HOUSTON,23 MAR 1990,BER,1,"San Marcos, TX (USA)",05 JUN 2015,1155
45,4805,20.42,-0.2,Jimmy VICAUT,27 FEB 1992,FRA,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",14 JUN 2015,1156
46,4805,20.42,1.4,Shota IIZUKA,25 JUN 1991,JPN,1h3,Nagoya (JPN),26 JUN 2015,1155
47,4805,20.42,1.1,Ameer WEBB,19 MAR 1991,USA,4sf2,"Hayward Field, Eugene, OR (USA)",28 JUN 2015,1155
48,4805,20.42,1.7,Kyle GREAUX,26 APR 1988,TTO,1f2,Port-of-Spain (TTO),28 JUN 2015,1155
49,4805,20.42,0.2,Mosito LEHATA,08 APR 1989,LES,2,"Stade Raymond Petit, Tomblaine (FRA)",01 JUL 2015,1155
50,4805,20.42,0.9,Zharnel HUGHES,13 JUL 1995,GBR,1,Birmingham (GBR),04 JUL 2015,1155
51,4805,20.42,0.6,Jimmy VICAUT,27 FEB 1992,FRA,2,Villeneuve d'Ascq (FRA),12 JUL 2015,1155
52,4805,20.42,1.0,Julian REUS,29 APR 1988,GER,1,Nürnberg (GER),26 JUL 2015,1155
53,4805,20.42,-0.2,Bruno DE BARROS,07 JAN 1987,BRA,5h2,"National Stadium, Beijing (CHN)",25 AUG 2015,1156
54,4805,20.42,-1.2,Wilfried KOFFI HUA,12 OCT 1987,CIV,1,Brazzaville (CGO),17 SEP 2015,1162
55,4805,20.42,1.0,Isaac MAKWALA,24 SEP 1985,BOT,1f1,Potchefstroom (RSA),15 MAR 2016,1155
56,4805,20.42,1.0,Roberto SKYERS,12 NOV 1991,CUB,1,La Habana (CUB),20 MAR 2016,1155
57,4805,20.42,0.9,Michael RODGERS,24 APR 1985,USA,3f1,Nassau (BAH),16 APR 2016,1155
58,4805,20.42,0.6,Oshane BAILEY,08 SEP 1989,JAM,2f5,Kingston (JAM),16 APR 2016,1155
59,4805,20.42,0.2,Bernardo BALOYES,06 JAN 1994,COL,1f2,Medellín (COL),30 APR 2016,1155
60,4805,20.42,1.5,Christian COLEMAN,06 MAR 1996,USA,1h3,"Tuscaloosa, AL (USA)",12 MAY 2016,1155
61,4805,20.42,0.6,Ramil GULIYEV,29 MAY 1990,TUR,5,"Stadio Olimpico, Roma (ITA)",02 JUN 2016,1155
62,4805,20.42,1.4,Michael NORMAN,03 DEC 1997,USA,1,"Clovis, CA (USA)",04 JUN 2016,1155
63,4805,20.42,0.0,Ramon GITTENS,20 JUL 1987,BAR,1,Bridgetown (BAR),27 JUN 2016,1155
64,4805,20.42,-1.5,Justin GATLIN,10 FEB 1982,USA,1h5,"Estádio Olímpico, Rio de Janeiro (BRA)",16 AUG 2016,1164
65,4805,20.42,0.4,Reynier MENA,21 NOV 1996,CUB,4h8,"Estádio Olímpico, Rio de Janeiro (BRA)",16 AUG 2016,1155
66,4805,20.42,0.6,Solomon BOCKARIE,18 MAY 1987,NED,3h9,"Estádio Olímpico, Rio de Janeiro (BRA)",16 AUG 2016,1155
67,4805,20.42,0.4,Solomon BOCKARIE,18 MAY 1987,NED,6,"Stade Olympique de la Pontaise, Lausanne (SUI)",25 AUG 2016,1155
68,4805,20.42,-1.0,LaShawn MERRITT,27 JUN 1986,USA,1f1,St. George's (GRN),08 APR 2017,1161
69,4805,20.42,1.8,Roger GURSKI,11 JUL 1997,GER,1f2,Jena (GER),27 MAY 2017,1155
70,4805,20.42,1.6,Deshawn MARSHALL,01 NOV 1994,USA,4sf1,"Eugene, OR (USA)",07 JUN 2017,1155
71,4805,20.42,1.2,Sean MCLEAN,23 MAR 1992,USA,5,Kingston (JAM),10 JUN 2017,1155
72,4805,20.42,-2.3,Isiah YOUNG,05 JAN 1990,USA,5,"Sacramento, CA (USA)",25 JUN 2017,1168
73,4805,20.42,-1.3,Serhiy SMELYK,19 APR 1987,UKR,1f5,Kyiv (UKR),30 JUN 2017,1162
74,4805,20.42,0.8,Zharnel HUGHES,13 JUL 1995,GBR,4,Birmingham (GBR),02 JUL 2017,1155
75,4805,20.42,0.0,Brandon CARNES,06 MAR 1995,USA,2,"Moratalaz, Madrid (ESP)",14 JUL 2017,1155
76,4805,20.42,1.0,Terrell SMITH,10 OCT 1994,USA,2f1,"Lubbock, TX (USA)",27 APR 2018,1155
77,4805,20.42,0.8,Ncincilili TITI,15 DEC 1993,RSA,4,"Knoxville, TN (USA)",13 MAY 2018,1155
78,4805,20.42,2.0,Anaso JOBODWANA,30 JUL 1992,RSA,4,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1155
79,4805,20.42,0.8,Yuki KOIKE,13 MAY 1995,JPN,2,Yamaguchi (JPN),24 JUN 2018,1155
80,4805,20.42,1.8,Adam GEMILI,06 OCT 1993,GBR,1h1,Birmingham (GBR),01 JUL 2018,1155
81,4805,20.42,0.1,Aldemir JUNIOR,08 JUN 1992,BRA,2,Trujillo (PER),26 AUG 2018,1155
82,4805,20.42,1.4,Miguel FRANCIS,28 MAR 1995,GBR,1f1,Kingston (JAM),02 MAR 2019,1155
83,4805,20.42,1.9,Christopher BELCHER,29 JAN 1994,USA,1f2,St. George's (GRN),13 APR 2019,1155
84,4805,20.42,0.4,Keitavious WALTER,16 APR 1996,USA,3,"Fayetteville, AR (USA)",11 MAY 2019,1155
85,4805,20.42,-0.7,Bernardo BALOYES,06 JAN 1994,COL,1,Lima (PER),26 MAY 2019,1159
86,4805,20.42,0.7,Akanni HISLOP,01 JUN 1998,TTO,5sf3,"Austin, TX (USA)",05 JUN 2019,1155
87,4805,20.42,0.9,Yohan BLAKE,26 DEC 1989,JAM,1sf2,Kingston (JAM),22 JUN 2019,1155
88,4805,20.42,1.0,Steven MÜLLER,15 SEP 1990,GER,1h1,Berlin (GER),04 AUG 2019,1155
89,4805,20.42,1.6,Vernon NORWOOD,10 APR 1992,USA,2f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",17 APR 2021,1155
90,4805,20.42,1.3,Karayme BARTLEY,10 SEP 1995,JAM,1f1,"Terry & Linda Fuller T&F Complex, Lubbock, TX (USA)",23 APR 2021,1155
91,4805,20.42,0.1,Robert GREGORY,12 DEC 2001,USA,1f1,"Mike A. Myers Stadium, Austin, TX (USA)",30 APR 2021,1155
92,4805,20.42,-1.4,Jorge VIDES,24 NOV 1992,BRA,1,"COTP Stadium, São Paulo (BRA)",13 JUN 2021,1163
93,4805,20.42,-1.4,Paulo André CAMILO,20 AUG 1998,BRA,2,"COTP Stadium, São Paulo (BRA)",13 JUN 2021,1163
94,4805,20.42,0.0,Randolph ROSS,01 JAN 2001,USA,3f1,"Percy Beard Track, Gainesville, FL (USA)",01 APR 2022,1155
95,4805,20.42,1.1,Joseph ODURO MANU,26 JUL 1996,GHA,1,"Norfolk St. William ""Dick"" Price Stadium, Norfolk, VA (USA)",14 MAY 2022,1155
96,4805,20.42,-0.4,Javonte' HARDING,29 AUG 2001,USA,3h4,"Hayward Field, Eugene, OR (USA)",25 JUN 2022,1157
97,4805,20.42,1.2,Brandon CARNES,06 MAR 1995,USA,5sf1,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,1155
98,4805,20.42,0.1,Calab LAW,31 DEC 2003,AUS,2sf3,"Pascual Guerrero Stadium, Cali (COL)",03 AUG 2022,1155
99,4805,20.42,0.7,Brendon RODNEY,09 APR 1992,CAN,4f1,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",24 AUG 2022,1155
0,4805,20.42,1.1,Lucas RODRIGUES DA SILVA,05 JUL 2001,BRA,2,Cascavel (BRA),01 OCT 2022,1155
1,4805,20.42,1.9,Brendon RODNEY,09 APR 1992,CAN,4,"Ansin Sports Complex, Miramar, FL (USA)",08 APR 2023,1155
2,4805,20.42,1.5,Jeremiah CURRY,07 JAN 2000,USA,1h2,"Hilmer Lodge Stadium, Walnut, CA (USA)",12 MAY 2023,1155
3,4805,20.42,1.3,Courtney LINDSEY,18 NOV 1998,USA,1pr2,"Hornet Stadium - Sac St., Sacramento, CA (USA)",24 MAY 2023,1155
4,5005,20.43,0.4,Don QUARRIE,25 FEB 1951,JAM,2qf4,"Olympiastadion, München (GER)",03 SEP 1972,1153
5,5005,20.43,-2.4,James GILKES,21 SEP 1952,GUY,1,Ciudad de México (MEX),16 OCT 1975,1167
6,5005,20.43,0.9,Dwayne STROZIER,01 JUL 1957,USA,2,"Tucson, AZ (USA)",01 MAY 1976,1153
7,5005,20.43,0.7,Dwayne EVANS,13 OCT 1958,USA,3,"Olympic Stadium, Montréal (CAN)",26 JUL 1976,1153
8,5005,20.43,1.8,Millard HAMPTON,08 JUL 1956,USA,1,"Westwood, CA (USA)",13 MAR 1977,1153
9,5005,20.43,0.0,Clancy EDWARDS,09 AUG 1955,USA,1,Stockholm (SWE),04 JUL 1978,1153
10,5005,20.43,1.8,Altevir DE ARAÚJO,23 DEC 1955,BRA,4,Ciudad de México (MEX),12 SEP 1979,1153
11,5005,20.43,-1.2,James SANFORD,27 DEC 1957,USA,1,"Los Angeles, CA (USA)",15 MAR 1980,1160
12,5005,20.43,1.0,Pietro MENNEA,28 JUN 1952,ITA,1,Pescara (ITA),08 JUN 1980,1153
13,5005,20.43,0.4,Allan WELLS,03 MAY 1952,GBR,1,Brisbane (AUS),07 OCT 1982,1153
14,5005,20.43,0.4,Mike MCFARLANE,02 MAY 1960,GBR,1,Brisbane (AUS),07 OCT 1982,1153
15,5005,20.43,1.8,Kirk BAPTISTE,20 JUN 1963,USA,3,"Houston, TX (USA)",03 JUN 1983,1153
16,5005,20.43,0.0,Pietro MENNEA,28 JUN 1952,ITA,1,Paris (FRA),24 JUN 1983,1153
17,5005,20.43,-0.1,Mel LATTANY,10 AUG 1959,USA,2,Lausanne (SUI),30 JUN 1983,1153
18,5005,20.43,0.6,James BUTLER,21 JUN 1960,USA,3,Zürich (SUI),24 AUG 1983,1153
19,5005,20.43,1.4,Thomas JEFFERSON,08 JUN 1962,USA,1,"Kent, OH (USA)",19 MAY 1984,1153
20,5005,20.43,-0.2,Roy MARTIN,25 DEC 1966,USA,4,"Los Angeles, CA (USA)",21 JUN 1984,1154
21,5005,20.43,0.8,Wessel OOSTHUIZEN,23 FEB 1961,RSA,1,Potchefstroom (RSA),13 APR 1985,1153
22,5005,20.43,-1.1,Darwin COOK,16 JUL 1962,USA,2,"Westwood, CA (USA)",04 MAY 1985,1159
23,5005,20.43,0.2,Ralf LÜBKE,17 JUN 1965,FRG,3,Moskva (URS),18 AUG 1985,1153
24,5005,20.43,-1.7,Lorenzo DANIEL,23 MAR 1966,USA,1h2,"Knoxville, TN (USA)",17 MAY 1986,1163
25,5005,20.43,0.0,Harvey MCSWAIN,10 MAR 1963,USA,1h1,"Indianapolis, IN (USA)",04 JUN 1986,1153
26,5005,20.43,0.1,Harvey MCSWAIN,10 MAR 1963,USA,2h2,"Eugene, OR (USA)",19 JUN 1986,1153
27,5005,20.43,0.7,Harvey MCSWAIN,10 MAR 1963,USA,3,Nice (FRA),15 JUL 1986,1153
28,5005,20.43,1.7,Calvin SMITH,08 JAN 1961,USA,3f2,"Modesto, CA (USA)",09 MAY 1987,1153
29,5005,20.43,1.6,Vladimir KRYLOV,26 FEB 1964,URS,1,Karl Marx Stadt (GDR),21 JUN 1987,1153
30,5005,20.43,0.4,Thomas JEFFERSON,08 JUN 1962,USA,5,San José (USA),26 JUN 1987,1153
31,5005,20.43,0.5,Thomas JEFFERSON,08 JUN 1962,USA,3sf1,San José (USA),26 JUN 1987,1153
32,5005,20.43,1.4,Norbert DOBELEIT,17 JUL 1964,FRG,2,Rhede (GER),03 JUL 1987,1153
33,5005,20.43,1.4,Dennis MITCHELL,20 FEB 1966,USA,3,Budapest (HUN),06 JUL 1987,1153
34,5005,20.43,0.0,Calvin SMITH,08 JAN 1961,USA,3f1,Nice (FRA),13 JUL 1987,1153
35,5005,20.43,0.0,Calvin SMITH,08 JAN 1961,USA,2,Grosseto (ITA),10 AUG 1987,1153
36,5005,20.43,-1.0,Thomas JEFFERSON,08 JUN 1962,USA,2,Bruxelles (BEL),11 SEP 1987,1159
37,5005,20.43,0.0,James BUTLER,21 JUN 1960,USA,2qf1,"Indianapolis, IN (USA)",18 JUL 1988,1153
38,5005,20.43,-0.6,Henry THOMAS,10 JUL 1967,USA,3,Bruxelles (BEL),19 AUG 1988,1156
39,5005,20.43,0.5,James BUTLER,21 JUN 1960,USA,2,Bern (SUI),23 AUG 1988,1153
40,5005,20.43,1.5,Atlee MAHORN,27 OCT 1965,CAN,3sf1,"Olympic Stadium, Jamsil, Seoul (KOR)",28 SEP 1988,1153
41,5005,20.43,-0.1,Floyd HEARD,24 MAR 1966,USA,3,Villeneuve d'Ascq (FRA),25 JUN 1989,1153
42,5005,20.43,1.1,Dennis MITCHELL,20 FEB 1966,USA,3,Nice (FRA),10 JUL 1989,1153
43,5005,20.43,0.0,Stefano TILLI,22 AUG 1962,ITA,3f1,"Letzigrund, Zürich (SUI)",16 AUG 1989,1153
44,5005,20.43,0.4,Olapade ADENIKEN,19 AUG 1969,NGR,3,"Durham, NC (USA)",02 JUN 1990,1153
45,5005,20.43,,John REGIS,13 OCT 1966,GBR,1f1,Rieti (ITA),09 SEP 1990,1153
46,5005,20.43,-0.6,Linford CHRISTIE,02 APR 1960,GBR,1,London (GBR),19 JUN 1991,1156
47,5005,20.43,1.2,Bruno MARIE-ROSE,20 MAY 1965,FRA,2,Dijon (FRA),28 JUL 1991,1153
48,5005,20.43,0.4,Roberto HERNÁNDEZ,06 MAR 1967,CUB,1h2,La Habana (CUB),07 AUG 1991,1153
49,5005,20.43,0.9,Joseph GIKONYO,07 FEB 1965,KEN,3h4,"National Stadium, Tokyo (JPN)",26 AUG 1991,1153
50,5005,20.43,0.0,Robson DA SILVA,04 SEP 1964,BRA,6f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",08 JUL 1992,1153
51,5005,20.43,,Marcus ADAM,28 FEB 1968,GBR,1qf1,"Estadio Olímpico, Barcelona (ESP)",03 AUG 1992,1153
